Name,Winery,Region,Vintage,Rating,RatingsCount,Price
Pelorus Rosé ,Cloudy Bay,"Martinborough, New Zealand",N/A,4.0,576,1400
Réserve Blanc de Blancs Brut Champagne ,Jean Laurent,"Champagne, France",N/A,4.0,523,1950
Cava Gran Reserva Barrica 2016,Agusti Torello Mata,"Cava, Spain",2016,4.0,462,2160
Moscato d'Asti 2014,Matteo Soria,"Moscato d'Asti, Italy",2014,4.0,249,750
Moscato d'Asti 2018,Matteo Soria,"Moscato d'Asti, Italy",2018,4.0,249,1100
Moscato d'Asti 2016,Manfredi,"Moscato d'Asti, Italy",2016,4.0,204,530
Brut 2016,Roche Lacour,"Crémant de Limoux, France",2016,4.0,114,1599
Cuvée Charles Gardet Brut Champagne 2004,Gardet,"Champagne, France",2004,4.0,101,3570
Rosé Champagne ,VIRGINIE T.,"Champagne, France",N/A,4.0,84,3299
Viblioteca Familiar Brut 2010,El Jardí dels Sentits,"Catalunya, Spain",2010,4.0,79,3357
Moscato d'Asti 2017,Pio Cesare,"Moscato d'Asti, Italy",2017,4.0,70,1200
Moscato d'Asti 2021,Pio Cesare,"Moscato d'Asti, Italy",2021,4.0,43,1160
Brut Champagne ,Piper-Heidsieck,"Champagne, France",N/A,3.9,16753,1350
Brut Majeur Champagne ,Ayala,"Champagne, France",N/A,3.9,13095,2161
Brut Champagne Grand Cru 'Le Mesnil-sur-Oger' ,Delamotte,"Champagne Grand Cru 'Le Mesnil-sur-Oger', France",N/A,3.9,11772,1680
Grande Cuvée Crémant de Bourgogne Brut ,Veuve Ambal,"Crémant de Bourgogne, France",N/A,3.9,10747,950
Alma Cuvée Brut ,Bellavista,"Franciacorta, Italy",N/A,3.9,6355,1135
‘61 Franciacorta Satèn ,Guido Berlucchi,"Franciacorta, Italy",N/A,3.9,5896,989
Sansevè Satèn Brut ,Monte Rossa,"Franciacorta, Italy",N/A,3.9,3898,910
Fleur de Champagne Brut Premier Cru ,Duval-Leroy,"Champagne Premier Cru, France",N/A,3.9,2830,2500
Coupé ,Monte Rossa,"Franciacorta, Italy",N/A,3.9,2127,1080
Brut Tradition Champagne ,Gardet,"Champagne, France",N/A,3.9,2125,1365
Moscato Dolce ,Abbazia di S. Gaudenzio,"Lombardia, Italy",N/A,3.9,1748,369
Prosecco Extra Dry ,Alessandro Gallici,"Prosecco, Italy",N/A,3.9,1561,999
La Grâce d'Alphaël Champagne Grand Cru 'Cramant' ,Philippe Glavier,"Champagne Grand Cru 'Cramant', France",N/A,3.9,1333,2380
Tradition Brut Champagne Premier Cru ,Paul Goerg,"Champagne Premier Cru, France",N/A,3.9,1289,2999
Brut Rosé Champagne ,Alfred Gratien,"Champagne, France",N/A,3.9,1265,2480
P.R. Brut ,Monte Rossa,"Franciacorta, Italy",N/A,3.9,1233,1041
Brut Elite ,House of Arras,"Northern Tasmania, Australia",N/A,3.9,1178,2100
Rosé Brut Champagne Grand Cru 'Le Mesnil-sur-Oger' ,Delamotte,"Champagne Grand Cru 'Le Mesnil-sur-Oger', France",N/A,3.9,828,2599
Cuvée Rosée Brut Champagne ,Champagne Devaux,"Champagne, France",N/A,3.9,565,2040
Signature Collection Sparkling Red 2010,Sirromet,"Queensland, Australia",2010,3.9,270,1800
Brachetto Dolce Piemonte ,Castello del Poggio,"Piemonte, Italy",N/A,3.9,270,450
Cuvée Jean Fanniére Origine Extra Brut Champagne Grand Cru 'Avize' ,Varnier Fannière,"Champagne Grand Cru 'Avize', France",N/A,3.9,216,3150
Mousseux 2016,Cabalié,"Vin de France, France",2016,3.9,51,1099
Trento Brut ,Ferrari,"Trento, Italy",N/A,3.8,25288,584
Franciacorta Brut ,Contadi Castaldi,"Franciacorta, Italy",N/A,3.8,9919,794
Maximum Brut ,Ferrari,"Trento, Italy",N/A,3.8,7733,660
‘61 Franciacorta Brut ,Guido Berlucchi,"Franciacorta, Italy",N/A,3.8,4916,878
Franciacorta Rosé,Contadi Castaldi,"Franciacorta, Italy",N/A,3.8,4645,1001
Prima Cuvée Brut ,Monte Rossa,"Franciacorta, Italy",N/A,3.8,4221,917
Blanc de Blancs Franciacorta Brut ,Cavalleri,"Franciacorta, Italy",N/A,3.8,3984,1340
Réserve Brut Champagne ,Duval-Leroy,"Champagne, France",N/A,3.8,3938,1750
Garden Spritz ,CHANDON Argentina,"Mendoza, Argentina",N/A,3.8,2825,761
Tradition Clairette de Die ,Jaillance,"Clairette de Die, France",N/A,3.8,2814,800
Pelorus Brut ,Cloudy Bay,"Marlborough, New Zealand",N/A,3.8,2321,1299
Prosecco ,Fiol,"Prosecco, Italy",N/A,3.8,1959,470
Sélection Brut Champagne ,Gremillet,"Champagne, France",N/A,3.8,1897,730
Terre Verdiane Lambrusco 1813 ,Ceci,"Emilia, Italy",N/A,3.8,1861,337
Crémant de Bourgogne Brut ,Veuve Ambal,"Crémant de Bourgogne, France",N/A,3.8,1462,960
Prosecco Edizione Limitata ,Ca' Bolani,"Prosecco, Italy",N/A,3.8,955,899
Brut Rosé Champagne ,Didier Chopin,"Champagne, France",N/A,3.8,534,2599
Grande Cuvée Crémant de Bourgogne Brut Rosé ,Veuve Ambal,"Crémant de Bourgogne, France",N/A,3.8,418,930
Karanika Brut Rosé 2019,Karanika,"Amyndeon, Greece",2019,3.8,348,1170
Tradition Brut Champagne ,Tarlant,"Champagne, France",N/A,3.8,315,2250
Brut Rosé ,Jurtschitsch,"Kamptal, Austria",N/A,3.8,217,1665
Pet Nat Vol 4 2021,Weingut Fuchs und Hase,"Kamptal, Austria",2021,3.8,206,1300
Rosè Extra Dry ,De Faveri,"Veneto, Italy",N/A,3.8,192,525
Lady Rosé Champagne ,Duval-Leroy,"Champagne, France",N/A,3.8,101,2150
