Name,Winery,Region,Vintage,Rating,RatingsCount,Price
Riesling Alsace Grand Cru Vendange Tardive Brand 2006,Domaine Zind Humbrecht,"Alsace Grand Cru, France",2006,4.3,26,2661
Gewürztraminer Alsace Clos Windsbuhl 2018,Domaine Zind Humbrecht,"Alsace, France",2018,4.3,25,2457
Sauvignon Blanc 2019,Cloudy Bay,"Marlborough, New Zealand",2019,4.2,9157,1270
Tenuta Valleselle Arnasi Pinot Grigio 2006,Tinazzi,"delle Venezie, Italy",2006,4.2,6967,1200
Lafóa Sauvignon 2001,Colterenzio (Schreckbichl),"Südtirol - Alto Adige, Italy",2001,4.2,6382,3200
Sauvignon Blanc 2022,Cloudy Bay,"Marlborough, New Zealand",2022,4.2,4720,990
Pinot Gris Alsace Clos Windsbuhl 1995,Domaine Zind Humbrecht,"Alsace, France",1995,4.2,1277,1842
Gewürztraminer Alsace Clos Windsbuhl 2020,Domaine Zind Humbrecht,"Alsace, France",2020,4.2,1162,2457
Gewürztraminer Alsace Clos Windsbuhl 2021,Domaine Zind Humbrecht,"Alsace, France",2021,4.2,1162,2457
Malvasia Salina Capofaro 2010,Tenuta Regaleali,"Salina, Italy",2010,4.2,840,2250
Napa Valley Chardonnay 2021,Duckhorn,"Napa Valley, United States",2021,4.2,820,1560
5V Blanco 2022,Abel Mendoza Monge,"Rioja, Spain",2022,4.2,692,2232
Sauvignon Blanc 2023,Cloudy Bay,"Marlborough, New Zealand",2023,4.2,629,1385
Maximum Grüner Veltliner 2007,Hiedler,"Kamptal, Austria",2007,4.2,584,1800
La Forest Chablís 1er Cru 2014,Vincent Dauvissat,"Chablis Premier Cru, France",2014,4.2,457,6754
Giallo d'Arles Greco di Tufo 2017,Quintodecimo,"Greco di Tufo, Italy",2017,4.2,456,2300
Sauvignon Blanc 2020,Hole In The Clouds,"Marlborough, New Zealand",2020,4.2,452,1199
Sul Vulcano Etna Bianco 2017,Donnafugata,"Etna, Italy",2017,4.2,392,1600
Kaplja 2015,Damijan Podversic,"Friuli-Venezia Giulia, Italy",2015,4.2,344,2000
Sancerre Les Romains 2018,Domaine Vacheron,"Sancerre, France",2018,4.2,338,2250
Via del Campo Falanghina 2018,Quintodecimo,"Irpinia, Italy",2018,4.2,330,1840
Chablis Grand Cru 'Blanchot' 2003,La Chablisienne,"Chablis Grand Cru 'Blanchot', France",2003,4.2,327,3100
Clos de Mosny 2020,La Taille Aux Loups,"Montlouis-sur-Loire, France",2020,4.2,280,1386
Kiedrich Gräfenberg Riesling Trocken GG 2020,Robert Weil,"Rheingau, Germany",2020,4.2,259,2960
Auxey-Duresses Blanc 2020,Domaine Roulot,"Auxey-Duresses, France",2020,4.2,235,4707
Via del Campo Falanghina 2017,Quintodecimo,"Irpinia, Italy",2017,4.2,234,1840
Kaplja 2013,Damijan Podversic,"Friuli-Venezia Giulia, Italy",2013,4.2,231,4400
Proprietary White 2022,Paraduxx,"Napa Valley, United States",2022,4.2,209,1130
Blanc 2021,Domaine de Cigalus,"Pays d'Oc, France",2021,4.2,191,921
Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2015,Château Malartic-Lagravière,"Pessac-Léognan, France",2015,4.2,189,2410
Quercus Pouilly-Fumé 2021,Tinel-Blondelet,"Pouilly-Fumé, France",2021,4.2,188,1150
Buri Bianco 2019,Miani,"Colli Orientali del Friuli, Italy",2019,4.2,182,8500
Buri Bianco 2006,Miani,"Colli Orientali del Friuli, Italy",2006,4.2,182,8500
Serriger Schloss Saarsteiner Riesling Auslese 2011,Schloss Saarstein,"Mosel, Germany",2011,4.2,180,2500
Châteauneuf-du-Pape (La Crau) Blanc 2016,Domaine du Vieux Télégraphe,"Châteauneuf-du-Pape, France",2016,4.2,177,2047
The Orange Republic 2019,Casa Rojo,"Valdeorras, Spain",2019,4.2,176,1190
Clos St. Landelin Cuvée Oscar Sylvaner 2004,René Muré,"Alsace Grand Cru, France",2004,4.2,174,1842
Bussiador 2013,Aldo Conterno,"Langhe, Italy",2013,4.2,168,3350
Scharzhofberger Riesling Auslese 2019,Von Hövel,"Mosel, Germany",2019,4.2,166,2975
Pettarin 2017,Miani,"Colli Orientali del Friuli, Italy",2017,4.2,158,6500
Archineri Etna Bianco 2019,Pietradolce,"Etna, Italy",2019,4.2,155,2125
Le Chêne Sancerre 2013,Lucien Crochet,"Sancerre, France",2013,4.2,138,1650
Furmint Nagy Eged Grand Cru 2011,Kovács Nimród,"Eger, Hungary",2011,4.2,134,3200
Kaplja 2005,Damijan Podversic,"Friuli-Venezia Giulia, Italy",2005,4.2,128,3320
Cos d'Estournel Blanc 2016,Cos d'Estournel,"Bordeaux, France",2016,4.2,121,4980
Gewürztraminer Vin D'Alsace Herrenweg de Turckheim 2007,Domaine Zind Humbrecht,"Alsace, France",2007,4.2,114,2251
Selection Hermitage Blanche 2018,Domaine Jean-Louis Chave,"Hermitage, France",2018,4.2,101,2000
Kiedrich Gräfenberg Riesling Spätlese 2020,Robert Weil,"Kiedrich, Germany",2020,4.2,100,4000
Scharzhofberger Riesling 2018,Van Volxem,"Mosel, Germany",2018,4.2,98,3400
Gewürztraminer Alsace Grand Cru 'Kessler' 2010,Domaines Schlumberger,"Alsace Grand Cru, France",2010,4.2,98,1500
Côtes De Gascogne Dernières Grives 2011,Domaine du Tariquet,"Côtes de Gascogne, France",2011,4.2,97,1800
Sancerre 2016,Serge Laporte,"Sancerre, France",2016,4.2,90,1599
Séchet Chablís Premier Cru 2010,Vincent Dauvissat,"Chablis Premier Cru, France",2010,4.2,80,7368
Pinot Gris Alsace Grand Cru Rangen de Thann Clos Saint Urbain 2012,Domaine Zind Humbrecht,"Alsace Grand Cru, France",2012,4.2,77,2853
Scharzhofberger P Riesling 2018,Van Volxem,"Wiltingen, Germany",2018,4.2,73,4800
Marius Unico Blanco 2012,Bodegas Piqueras,"Almansa, Spain",2012,4.2,72,800
Sauvignon Blanc 2013,Little Beauty,"Marlborough, New Zealand",2013,4.2,69,1550
Rully Les Cailloux 2016,Pierre-Yves Colin-Morey,"Rully, France",2016,4.2,64,3274
Pinot Gris Alsace Clos Windsbuhl 2015,Domaine Zind Humbrecht,"Alsace, France",2015,4.2,61,2260
Domaine Grand Veneur Châteauneuf-Du-Pape La Fontaine Blanc 2018,Alain Jaume,"Châteauneuf-du-Pape, France",2018,4.2,59,1433
Pinot Gris Alsace Clos Jebsal Vendange Tardive 2015,Domaine Zind Humbrecht,"Alsace, France",2015,4.2,51,2260
Moscato Sensuale 2018,Vigneti del Vulture,"Basilicata, Italy",2018,4.2,50,750
Le Clos de Chaudenay Sancerre 2017,Daniel Reverdy,"Sancerre, France",2017,4.2,48,2299
Graacher Himmelreich Riesling Spätlese 2005,Joh. Jos. Prüm,"Graach, Germany",2005,4.2,45,2800
Pessac-Léognan Blanc 2003,Château Pape Clément,"Pessac-Léognan, France",2003,4.2,44,4905
SOLdeSOL Chardonnay 2007,Viña Aquitania,"Malleco Valley, Chile",2007,4.2,42,1850
Chablis Grand Cru 'Les Preuses' 2020,La Chablisienne,"Chablis Grand Cru 'Preuses', France",2020,4.2,33,2890
Beaune 1er Cru 'Bressandes' Blanc 2017,Louis Jadot - Domaine Gagey,"Beaune 1er Cru 'Les Bressandes', France",2017,4.2,32,1800
Rully Les Cailloux 2018,Pierre-Yves Colin-Morey,"Rully, France",2018,4.2,29,3274
Riesling Alsace Clos Windsbuhl 2020,Domaine Zind Humbrecht,"Alsace, France",2020,4.2,29,2448
Riesling Alsace Grand Cru Rangen De Thann Clos Saint Urbain 2021,Domaine Zind Humbrecht,"Alsace Grand Cru, France",2021,4.2,27,2970
Châteauneuf-du-Pape Blanc 2019,Château de Nalys,"Châteauneuf-du-Pape, France",2019,4.2,26,3800
Vinho Verde Sweet ,Casal Garcia,"Vinho Verde, Portugal",N/A,4.1,10318,350
Sauvignon Blanc 2016,Cloudy Bay,"Marlborough, New Zealand",2016,4.1,7685,1250
Sauvignon Blanc 2015,Cloudy Bay,"Marlborough, New Zealand",2015,4.1,4914,1250
Sauvignon Blanc 2014,Cloudy Bay,"Marlborough, New Zealand",2014,4.1,4650,1200
Graacher Himmelreich Riesling Kabinett 2004,Joh. Jos. Prüm,"Graach, Germany",2004,4.1,4444,2000
Sancerre La Bourgeoise Blanc 2004,Henri Bourgeois,"Sancerre, France",2004,4.1,4040,1700
Chablis 1er Cru 'Mont de Milieu' 2004,La Chablisienne,"Chablis 1er Cru 'Mont de Milieu', France",2004,4.1,3581,1400
Riesling Trocken Brauneberger Juffer Sonnenuhr GG 2007,Fritz Haag,"Brauneberg, Germany",2007,4.1,2393,2500
Gewürztraminer Alsace Cuvée des Seigneurs de Ribeaupierre 1986,Trimbach,"Alsace, France",1986,4.1,1790,2251
To Kalon Vineyard Reserve Fumé Blanc 2007,Robert Mondavi Winery,"Napa Valley, United States",2007,4.1,1629,2260
Château-Chalon 1995,Berthet Bondet,"Château-Chalon, France",1995,4.1,1610,7104
Sanct Valentin Sauvignon 2017,St. Michael-Eppan,"Südtirol - Alto Adige, Italy",2017,4.1,1586,1700
Chardonnay 2003,Merryvale,"Los Carneros, United States",2003,4.1,1578,1050
Pernand-Vergelesses 'Les Combottes' 2021,Domaine Rapet,"Pernand-Vergelesses, France",2021,4.1,1284,1228
Castello della Sala San Giovanni della Sala Classico Superiore 2019,Antinori,"Orvieto, Italy",2019,4.1,1022,484
Cometa 2017,Planeta,"Menfi, Italy",2017,4.1,917,1064
Bourgogne Aligoté 2021,Domaine Coche-Dury,"Bourgogne Aligoté, France",2021,4.1,829,9619
Blanc 2019,Cabalié,"Côtes Catalanes, France",2019,4.1,809,899
Sauvignon Blanc 2021,Shaw + Smith,"Adelaide Hills, Australia",2021,4.1,695,760
Von der Fels Riesling 2016,Keller,"Rheinhessen, Germany",2016,4.1,647,1535
Sauvignon Blanc 2019,Mussel Pot,"Marlborough, New Zealand",2019,4.1,515,999
Royal Palmeira Loureiro Sur Lies Fines 2012,Quinta da Pedra,"Minho, Portugal",2012,4.1,509,1280
Sancerre Chambrates 2011,Domaine Vacheron,"Sancerre, France",2011,4.1,493,2340
Sancerre Chambrates 2010,Domaine Vacheron,"Sancerre, France",2010,4.1,493,3024
Sancerre Le Paradis 2019,Domaine Vacheron,"Sancerre, France",2019,4.1,488,2430
Rully 1er Cru 'Clos Saint-Jacques' 1998,Domaine de la Folie,"Rully 1er Cru 'Clos Saint-Jacques', France",1998,4.1,444,1228
Rully 1er Cru 'Clos Saint-Jacques' 2000,Domaine de la Folie,"Rully 1er Cru 'Clos Saint-Jacques', France",2000,4.1,444,1228
Rully 1er Cru 'Clos Saint-Jacques' 1988,Domaine de la Folie,"Rully 1er Cru 'Clos Saint-Jacques', France",1988,4.1,444,614
Sauvignon Blanc 2020,Invivo,"Marlborough, New Zealand",2020,4.1,424,650
Malvasía 2022,Abel Mendoza Monge,"Rioja, Spain",2022,4.1,419,1944
Origin Sauvignon Blanc 2013,Saint Clair Family Estate,"Marlborough, New Zealand",2013,4.1,415,1350
Von der Fels Riesling 2020,Keller,"Rheinhessen, Germany",2020,4.1,405,1535
Late Harvest Series Moscato 2014,Bodega Norton,"Mendoza, Argentina",2014,4.1,394,500
Single Vineyard Sauvignon Blanc 2020,Yealands,"Marlborough, New Zealand",2020,4.1,371,800
Chardonnay Sonoma Coast 2018,Patz & Hall,"Sonoma Coast, United States",2018,4.1,350,1530
Moscato 2019,Banrock Station,"South Eastern Australia, Australia",2019,4.1,318,300
Sancerre Les Romains 2016,Domaine Vacheron,"Sancerre, France",2016,4.1,306,2610
Sauvignon Blanc Feinherb 2021,Maybach,"Pfalz, Germany",2021,4.1,302,600
Chardonnay 2021,Bass Phillip,"Victoria, Australia",2021,4.1,285,2500
La Grande Châtelaine  Côte de Beaune 1988,Domaine Chantal Lescure,"Côte de Beaune, France",1988,4.1,262,1637
La Grande Châtelaine  Côte de Beaune 1993,Domaine Chantal Lescure,"Côte de Beaune, France",1993,4.1,262,1228
