Name,Winery,Region,Vintage,Rating,RatingsCount,Price
Volnay Premier Cru 2012,Domaine Coche-Dury,"Volnay Premier Cru, France",2012,4.5,369,9823
Pomerol 1995,Château l'Évangile,"Pomerol, France",1995,4.5,365,7572
Châteauneuf-du-Pape Vieilles Vignes 2007,Domaine de la Janasse,"Châteauneuf-du-Pape, France",2007,4.5,339,7572
Cabernet Sauvignon 2013,Buccella,"Napa Valley, United States",2013,4.5,338,5935
X2 2020,Paraduxx,"Napa Valley, United States",2020,4.5,333,3452
Châteauneuf-du-Pape Cuvée de mon Aïeul 2016,Pierre Usseglio,"Châteauneuf-du-Pape, France",2016,4.5,307,6230
Saumur Champigny 2010,Clos Rougeard,"Saumur-Champigny, France",2010,4.5,302,9619
VIK 2016,Viña Vik Winery,"Colchagua Valley, Chile",2016,4.5,261,4500
Monte Bello 2017,Ridge Vineyards,"Santa Cruz Mountains, United States",2017,4.5,254,8800
Barolo 2014,Bartolo Mascarello,"Barolo, Italy",2014,4.5,254,9209
Adrianna Vineyard Fortuna Terrae Malbec 2018,Catena Zapata,"Gualtallary, Argentina",2018,4.5,251,3960
Saint-Émilion Grand Cru 1995,Château Tertre Roteboeuf,"Saint-Émilion Grand Cru, France",1995,4.5,249,7163
Malleolus de Valderramiro 2008,Emilio Moro,"Ribera del Duero, Spain",2008,4.5,248,6050
Volnay Champans 1er Cru 2017,Domaine Marquis d'Angerville,"Volnay 1er Cru 'Champans', France",2017,4.5,243,6580
Costasera Amarone della Valpolicella Classico 1990,Masi,"Amarone della Valpolicella Classico, Italy",1990,4.5,231,5526
Ca’ del Merlo Rosso Veneto 2014,Quintarelli Giuseppe,"Veneto, Italy",2014,4.5,227,3480
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1985,Château Angelus,"Saint-Émilion Grand Cru, France",1985,4.5,212,8596
Pomerol 2008,Château Trotanoy,"Pomerol, France",2008,4.5,211,7572
Saint-Émilion Grand Cru 1998,Château Tertre Roteboeuf,"Saint-Émilion Grand Cru, France",1998,4.5,194,8596
Nico Malbec 2010,Luca,"Mendoza, Argentina",2010,4.5,193,4500
La Reine Des Bois Châteauneuf-du-Pape 2001,Domaine de la Mordorée,"Châteauneuf-du-Pape, France",2001,4.5,190,7572
CASK 23 Cabernet Sauvignon 2006,Stag's Leap Wine Cellars,"Napa Valley, United States",2006,4.5,186,9900
Adrianna Vineyard River Malbec 2019,Catena Zapata,"Mendoza, Argentina",2019,4.5,185,4770
Red 2007,Viñedo Chadwick,"Puente Alto, Chile",2007,4.5,181,7163
La Barbarine Côte-Rôtie 2017,Domaine Yves Gangloff,"Côte-Rôtie, France",2017,4.5,174,7982
Reva Estate Syrah 2012,Alban Vineyards,"Edna Valley, United States",2012,4.5,172,7368
Pomerol 2012,Château Trotanoy,"Pomerol, France",2012,4.5,165,6447
Prado Enea Gran Reserva 1998,Muga,"Rioja, Spain",1998,4.5,162,1900
Saint-Julien (Grand Cru Classé) 1991,Château Léoville Las Cases,"Saint-Julien, France",1991,4.5,162,6958
Barolo Bussia Colonnello 2013,Aldo Conterno,"Barolo, Italy",2013,4.5,156,6360
Ancestral 2015,Balbas,"Ribera del Duero, Spain",2015,4.5,149,2980
Margaux (Grand Cru Classé) 1989,Château Brane-Cantenac,"Margaux, France",1989,4.5,148,4502
Syrah 2014,Andremily Wines,"Santa Barbara County, United States",2014,4.5,144,7982
Les Grandes Places Côte-Rôtie 2011,Jean-Michel Gerin,"Côte-Rôtie, France",2011,4.5,132,5074
Barolo Monprivato 2018,Mascarello Giuseppe e Figlio,"Barolo, Italy",2018,4.5,126,6140
Margaux (Grand Cru Classé) 1985,Château Brane-Cantenac,"Margaux, France",1985,4.5,125,2865
Les Bessards Hermitage 2012,Delas,"Hermitage, France",2012,4.5,122,6450
Châteauneuf-du-Pape Cuvée de mon Aïeul 2014,Pierre Usseglio,"Châteauneuf-du-Pape, France",2014,4.5,120,6650
Les Bessards Hermitage 2011,Delas,"Hermitage, France",2011,4.5,118,6450
Côte-Rôtie 2003,Domaine Jamet,"Côte-Rôtie, France",2003,4.5,115,9133
Châteauneuf-du-Pape 2010,Henri Bonneau,"Châteauneuf-du-Pape, France",2010,4.5,108,7273
Carruades de Lafite Pauillac 1992,Château Lafite Rothschild,"Pauillac, France",1992,4.5,106,8186
Les Forts de Latour Pauillac 1983,Château Latour,"Pauillac, France",1983,4.5,106,5920
Toscana Rosso 2018,Tenuta di Trinoro,"Toscana, Italy",2018,4.5,102,8000
Profile 2001,Merryvale,"Napa Valley, United States",2001,4.5,99,4300
Zeus I 1998,Bisquertt Family Vineyards,"Colchagua Valley, Chile",1998,4.5,97,2800
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1989,Clos Fourtet,"Saint-Émilion Grand Cru, France",1989,4.5,97,6596
Ares 2016,Two Hands,"Barossa Valley, Australia",2016,4.5,96,4930
GR Reserve Shiraz 2006,Bethany,"Barossa, Australia",2006,4.5,88,3990
Howell Mountain Cabernet Sauvignon 2017,Duckhorn,"Howell Mountain, United States",2017,4.5,83,3840
Pomerol 1990,Château Le Bon Pasteur,"Pomerol, France",1990,4.5,76,3274
Saint-Émilion Grand Cru 2018,Château Croix de Labrie,"Saint-Émilion Grand Cru, France",2018,4.5,73,3960
Châteauneuf-du-Pape Deus Ex Machina 2018,Clos Saint Jean,"Châteauneuf-du-Pape, France",2018,4.5,72,4567
Profile 2015,Merryvale,"Napa Valley, United States",2015,4.5,70,6910
Face Cabernet Sauvignon 2011,Swanson,"Napa Valley, United States",2011,4.5,70,3740
Châteauneuf-du-Pape Cuvée de mon Aïeul 2017,Pierre Usseglio,"Châteauneuf-du-Pape, France",2017,4.5,66,6770
Camí Pesseroles 2015,Martinet,"Priorat, Spain",2015,4.5,63,2865
Châteauneuf-du-Pape Cuvée Marie Beurrier 2006,Henri Bonneau,"Châteauneuf-du-Pape, France",2006,4.5,61,7982
Clos Vougeot Grand Cru 1999,Château de la Tour,"Clos Vougeot Grand Cru, France",1999,4.5,61,8596
Jersey Boys Vineyard Cabernet Sauvignon 2012,Kinsella Estates,"Dry Creek Valley, United States",2012,4.5,59,5800
Ermitage l'Ermite 1997,M. Chapoutier,"Hermitage, France",1997,4.5,59,6754
Saint-Émilion Grand Cru 1993,Château Tertre Roteboeuf,"Saint-Émilion Grand Cru, France",1993,4.5,58,4093
Châteauneuf-du-Pape Le Secret Des Sabon 2005,Roger Sabon,"Châteauneuf-du-Pape, France",2005,4.5,55,6754
Ermitage Le Méal 1999,M. Chapoutier,"Hermitage, France",1999,4.5,50,4912
Stone Cairn 2013,Andrew Januik,"Red Mountain, United States",2013,4.5,47,2200
Chapelle d'Ausone Saint-Émilion Grand Cru 2001,Château Ausone,"Saint-Émilion Grand Cru, France",2001,4.5,47,7273
Rioja Cosecha 1928,AGE,"Rioja, Spain",1928,4.5,40,9641
GR Reserve Shiraz 2008,Bethany,"Barossa, Australia",2008,4.5,39,3990
Barbaresco Riserva 2015,Fabio Gea,"Barbaresco, Italy",2015,4.5,38,4502
Echézeaux Grand Cru 2016,Jean-Marc Millot,"Échezeaux Grand Cru, France",2016,4.5,35,9209
Brunello di Montalcino 2000,Carpineto,"Brunello di Montalcino, Italy",2000,4.5,35,2500
GR Reserve Shiraz 2005,Bethany,"Barossa, Australia",2005,4.5,34,4980
Domus Aurea Cabernet Sauvignon 2020,Quebrada de Macul,"Maipo Valley, Chile",2020,4.5,28,2500
Clos de Vougeot Grand Cru 2020,Domaine Gros Frère et Soeur,"Clos Vougeot Grand Cru, France",2020,4.5,25,7982
Cos d'Estournel 1972,Cos d'Estournel,"Saint-Estèphe, France",1972,4.4,46384,4093
Châteauneuf-du-Pape 1967,Clos des Papes (Paul Avril),"Châteauneuf-du-Pape, France",1967,4.4,16687,7572
Les Forts de Latour Pauillac 1974,Château Latour,"Pauillac, France",1974,4.4,12941,6698
Cabernet Franc 2017,El Enemigo,"Mendoza, Argentina",2017,4.4,12153,1105
Pomerol 1969,Vieux Château Certan,"Pomerol, France",1969,4.4,11014,7104
Stags Leap District Cabernet Sauvignon 2000,Cliff Lede,"Stags Leap District, United States",2000,4.4,9208,3425
