Name,Winery,Region,Vintage,Rating,RatingsCount,Price
Sauternes (Grand Cru Classé) 1988,Château de Malle,"Sauternes, France",1988,4.0,40,1842
Midnight Frost Vidal Icewine 2015,Pillitteri Estates,"Niagara Peninsula, Canada",2015,4.0,35,1699
Tokaji Aszú 3 Puttonyos 2008,Béres,"Tokaj, Hungary",2008,4.0,35,1980
Loupiac 1961,Château Bertranon,"Loupiac, France",1961,4.0,33,8795
The Winemaster's Special Late Harvest 2006,Nederburg,"Coastal Region, South Africa",2006,3.9,1589,440
Tokaji Késői Arany 2012,Grand Tokaj,"Tokaj, Hungary",2012,3.9,679,2280
Sauternes 2010,Château Liot,"Sauternes, France",2010,3.9,141,716
Tears of Dew Late Harvest Moscato 2006,Eos Estate,"Paso Robles, United States",2006,3.9,132,1680
Dulzino Moscato 2017,Viña Maipo,"Central Valley, Chile",2017,3.9,119,420
Riesling Vendange Tardive 2012,Hugel,"Alsace, France",2012,3.9,71,3240
Noble One Botrytis Sémillon 2003,De Bortoli,"Riverina, Australia",2003,3.9,61,1200
Diamante d'Almerita Passito 2010,Tenuta Regaleali,"Terre Siciliane, Italy",2010,3.9,46,2000
Ice Wine Muscat Ottonel 2011,Château Vartely,"Moldova, Moldova",2011,3.9,46,450
Riesling Beerenauslese 2004,Deinhard,"Rheinhessen, Germany",2004,3.9,31,720
Delicious Medium Sweet Moelleux Red 2004,JP. Chenet,"Pays d'Oc, France",2004,3.8,9407,500
Delicious Medium Sweet Moelleux Red 2006,JP. Chenet,"Pays d'Oc, France",2006,3.8,9407,500
Deen Vat 5 Botrytis Sémillon 2005,De Bortoli,"Riverina, Australia",2005,3.8,1048,800
Moelleux 2020,La Taille Aux Loups,"Montlouis-sur-Loire, France",2020,3.8,98,1431
Chardonnay Eiswein 2012,Kessler-Zink,"Rheinhessen, Germany",2012,3.8,46,1400
Vin Glacé Pinot Gris 2009,Cooper Mountain,"Willamette Valley, United States",2009,3.8,42,999
Piani di Tufara Moscato di Trani Dolce 2017,Rivera,"Moscato di Trani, Italy",2017,3.8,31,850
Spätburgunder Rosé Eiswein 2002,Ernst Bretz,"Rheinhessen, Germany",2002,3.8,29,2250
